Data Info 1,Data info 2
1.8249,8.2465
1.9057,8.5781
1.9865,8.3298
2.0674,8.6017
2.1482,8.8952
2.2290,8.4976
2.3098,8.4386
2.3907,8.5151
2.4715,8.9806
2.5523,8.7279
2.6331,8.5954
2.7140,8.4602
2.7948,9.0274
2.8756,9.1347
2.9564,8.5013
3.0373,8.9043
3.1181,9.0229
3.1989,9.3077
3.2797,8.7938
3.3606,8.7179
3.4414,9.0533
3.5222,8.9988
3.6031,9.4156
3.6839,8.6317
3.7647,9.1856
3.8455,9.2833
3.9264,9.0100
4.0072,8.9822
4.0880,9.0627
4.1688,8.9648
4.2497,8.9912
4.3305,9.3651
4.4113,9.5617
4.4921,9.0730
4.5730,9.4525
4.6538,9.5067
4.7346,9.3907
4.8154,9.0725
4.8963,9.7266
4.9771,9.2959
5.0579,9.0987
5.1387,9.4995
5.2196,9.1089
5.3004,9.5435
5.3812,9.2092
5.4620,9.5086
5.5429,9.1363
5.6237,9.2934
5.7045,9.1878
5.7853,9.6407
5.8662,9.8057
5.9470,9.2480
6.0278,9.2321
6.1086,9.9299
6.1895,9.8981
6.2703,9.8202
6.3511,9.3706
6.4319,9.4100
6.5128,10.0972
6.5936,9.7148
6.6744,9.9001
6.7552,9.9576
6.8361,9.9432
6.9169,10.0421
6.9977,10.1850
7.0785,10.0666
7.1594,10.2798
7.2402,9.9358
7.3210,9.6327
7.4019,10.1708
7.4827,10.2835
7.5635,10.0258
7.6443,9.7214
7.7252,9.7309
7.8060,9.6386
7.8868,10.3275
7.9676,9.7997
8.0485,9.7146
8.1293,9.9028
8.2101,10.1970
