Data Info 1,Data info 2
-10.2017,2.1953
-10.0525,2.1250
-9.9032,5.7588
-9.7539,5.9704
-9.6046,5.0946
-9.4553,2.4818
-9.3060,4.9976
-9.1567,1.8995
-9.0074,5.2010
-8.8582,2.6576
-8.7089,3.5699
-8.5596,2.8533
-8.4103,6.5012
-8.2610,2.1805
-8.1117,3.0134
-7.9624,4.0740
-7.8132,3.2159
-7.6639,5.7942
-7.5146,1.7555
-7.3653,3.2414
-7.2160,4.8970
-7.0667,2.6482
-6.9174,2.2322
-6.7681,5.0673
-6.6189,3.4449
-6.4696,4.2876
-6.3203,4.7360
-6.1710,2.6167
-6.0217,2.5998
-5.8724,1.7596
-5.7231,3.8110
-5.5739,6.0990
-5.4246,5.0004
-5.2753,1.0731
-5.1260,1.5294
-4.9767,1.6437
-4.8274,3.6819
-4.6781,2.3265
-4.5288,5.0683
-4.3796,2.6279
-4.2303,2.5588
-4.0810,4.7090
-3.9317,3.5576
-3.7824,5.1802
-3.6331,3.5079
-3.4838,3.8555
-3.3346,1.1300
-3.1853,4.5542
-3.0360,3.9966
-2.8867,4.5444
-2.7374,0.9690
-2.5881,1.1495
-2.4388,5.0119
-2.2895,1.6697
-2.1403,3.2490
-1.9910,2.5048
-1.8417,0.1592
-1.6924,5.1156
-1.5431,2.9841
-1.3938,0.2951
