Data Info 1,Data info 2
-4.9202,-17.6425
-4.8494,-18.2157
-4.7785,-17.0434
-4.7077,-17.1915
-4.6369,-17.1410
-4.5661,-17.1871
-4.4953,-17.8096
-4.4244,-16.1005
-4.3536,-17.5598
-4.2828,-16.9848
-4.2120,-17.1557
-4.1411,-16.5473
-4.0703,-17.3203
-3.9995,-17.5345
-3.9287,-16.6618
-3.8578,-15.2533
-3.7870,-15.0340
-3.7162,-16.1926
-3.6454,-16.2018
-3.5746,-14.9704
-3.5037,-15.1327
-3.4329,-17.0474
-3.3621,-16.1446
-3.2913,-16.5065
-3.2204,-14.6773
-3.1496,-15.0017
-3.0788,-14.5178
-3.0080,-14.4609
-2.9371,-14.7210
-2.8663,-14.0569
-2.7955,-15.9223
-2.7247,-14.6954
-2.6539,-14.1783
-2.5830,-15.7879
-2.5122,-13.7834
-2.4414,-14.2180
-2.3706,-14.6849
-2.2997,-15.2751
-2.2289,-15.2974
-2.1581,-14.4212
-2.0873,-14.2566
-2.0164,-15.2196
-1.9456,-15.0532
-1.8748,-12.8695
-1.8040,-14.1508
-1.7332,-14.2202
-1.6623,-14.4521
-1.5915,-13.7735
-1.5207,-12.8887
-1.4499,-13.7408
-1.3790,-11.9708
-1.3082,-12.8906
-1.2374,-13.4653
-1.1666,-11.6760
-1.0957,-12.6580
-1.0249,-11.9656
-0.9541,-11.8411
-0.8833,-11.4014
-0.8125,-12.1169
-0.7416,-13.3825
-0.6708,-12.5783
-0.6000,-13.1177
-0.5292,-12.0656
-0.4583,-11.8553
-0.3875,-10.8842
-0.3167,-11.4186
-0.2459,-12.8124
-0.1750,-10.9543
-0.1042,-12.7533
-0.0334,-12.3518
0.0374,-10.2833
0.1082,-11.1428
0.1791,-12.2598
0.2499,-11.6835
0.3207,-10.2422
0.3915,-11.7811
0.4624,-10.4532
0.5332,-10.4073
0.6040,-9.9273
0.6748,-11.3935
0.7457,-11.7100
0.8165,-9.1937
0.8873,-10.5814
0.9581,-11.2546
1.0289,-9.0447
1.0998,-9.6622
1.1706,-9.1278
1.2414,-9.7366
1.3122,-10.3710
1.3831,-10.1176
1.4539,-8.6612
1.5247,-9.4814
1.5955,-10.5753
1.6664,-9.5969
1.7372,-10.2003
1.8080,-9.9483
1.8788,-8.0608
1.9496,-7.9873
2.0205,-9.8210
2.0913,-9.8532
2.1621,-9.1102
2.2329,-8.4163
2.3038,-8.4685
2.3746,-9.5527
2.4454,-7.7967
2.5162,-7.9654
2.5871,-9.1491
2.6579,-8.9740
2.7287,-7.0576
2.7995,-7.0233
2.8703,-7.9248
2.9412,-8.0896
3.0120,-6.9412
3.0828,-8.2264
3.1536,-6.6449
3.2245,-7.2895
3.2953,-6.9944
3.3661,-7.6886
3.4369,-8.1146
3.5078,-5.8909
