Data Info 1,Data info 2
-3.2034,14.4020
-3.1465,14.5381
-3.0895,15.3256
-3.0325,14.0188
-2.9756,14.9483
-2.9186,14.8554
-2.8616,15.0628
-2.8046,13.6805
-2.7477,13.5608
-2.6907,14.7303
-2.6337,13.5325
-2.5768,13.3357
-2.5198,13.2570
-2.4628,13.6179
-2.4059,14.0986
-2.3489,12.8607
-2.2919,13.6807
-2.2350,13.2473
-2.1780,13.8672
-2.1210,13.3267
-2.0640,12.6278
-2.0071,12.9495
-1.9501,12.6206
-1.8931,11.9980
-1.8362,12.1360
-1.7792,13.1689
-1.7222,13.1159
-1.6653,12.8523
-1.6083,12.2651
-1.5513,11.2829
-1.4943,12.7393
-1.4374,12.3852
-1.3804,11.2761
-1.3234,11.2495
-1.2665,12.0694
-1.2095,11.0969
-1.1525,11.3567
-1.0956,11.3413
-1.0386,11.1877
-0.9816,10.5514
-0.9247,10.7109
-0.8677,10.5228
-0.8107,11.1004
-0.7537,9.8834
-0.6968,11.4065
-0.6398,11.1230
-0.5828,10.8157
-0.5259,10.5461
-0.4689,9.4135
-0.4119,10.8765
-0.3550,10.3266
-0.2980,9.9262
-0.2410,10.2864
-0.1840,8.9694
-0.1271,9.0006
-0.0701,8.7470
-0.0131,9.6505
0.0438,9.4682
0.1008,9.9034
0.1578,8.7122
0.2147,9.5393
0.2717,9.6592
0.3287,9.2676
0.3856,8.8990
0.4426,9.1273
0.4996,8.5770
0.5566,8.0860
0.6135,7.9160
0.6705,7.5160
0.7275,8.3554
0.7844,8.5015
0.8414,8.7157
0.8984,7.5202
0.9553,7.8218
1.0123,6.8488
1.0693,8.0258
1.1263,7.7762
1.1832,8.0579
1.2402,7.5268
1.2972,7.8896
1.3541,7.4434
1.4111,6.2498
1.4681,7.5359
1.5250,7.4429
1.5820,6.0002
1.6390,6.2602
1.6959,6.7961
1.7529,6.0410
1.8099,6.2286
1.8669,5.3614
1.9238,6.3462
1.9808,6.4715
2.0378,5.4165
2.0947,5.1725
2.1517,5.7607
2.2087,5.8088
2.2656,4.8697
2.3226,4.5090
2.3796,4.4615
2.4365,5.4195
2.4935,4.8091
2.5505,4.2398
2.6075,5.2049
2.6644,5.0116
2.7214,4.1417
2.7784,4.6600
2.8353,4.7411
2.8923,4.5941
2.9493,4.8229
3.0062,4.0499
3.0632,4.2899
3.1202,4.1100
3.1772,3.9913
3.2341,3.8572
3.2911,2.8384
3.3481,2.8413
3.4050,2.8064
3.4620,2.7277
3.5190,2.7889
3.5759,3.3594
3.6329,2.5242
3.6899,2.2120
3.7468,2.5035
3.8038,3.0620
3.8608,3.1817
3.9178,2.2763
3.9747,3.1571
4.0317,2.4538
4.0887,1.7583
4.1456,1.5574
4.2026,2.5296
4.2596,2.3949
4.3165,2.0076
4.3735,1.6270
4.4305,1.6318
4.4875,1.9807
4.5444,1.1990
4.6014,0.8116
4.6584,0.6450
4.7153,0.5841
