Data Info 1,Data info 2
-1.6363,-10.0347
-1.5550,-9.7232
-1.4737,-9.3484
-1.3924,-9.3824
-1.3111,-9.9181
-1.2298,-9.3943
-1.1484,-9.7671
-1.0671,-9.2647
-0.9858,-9.4787
-0.9045,-9.3007
-0.8232,-8.7850
-0.7419,-8.9196
-0.6606,-8.5935
-0.5793,-8.7957
-0.4980,-9.2961
-0.4167,-9.0468
-0.3353,-9.0078
-0.2540,-8.9363
-0.1727,-8.8082
-0.0914,-8.4483
-0.0101,-8.6047
0.0712,-8.2748
0.1525,-8.7148
0.2338,-8.0518
0.3151,-7.9168
0.3964,-8.4248
0.4778,-7.7545
0.5591,-7.8937
0.6404,-7.7018
0.7217,-7.7164
0.8030,-8.0187
0.8843,-7.4944
0.9656,-8.0469
1.0469,-7.6332
1.1282,-7.7002
1.2095,-7.8253
1.2908,-7.1946
1.3722,-7.0238
1.4535,-7.3162
1.5348,-7.2052
1.6161,-7.4468
1.6974,-7.1060
1.7787,-7.0264
1.8600,-6.6385
1.9413,-6.5410
2.0226,-7.0007
2.1039,-7.0797
2.1853,-6.9896
2.2666,-6.2885
2.3479,-6.8581
2.4292,-6.2298
2.5105,-6.2374
2.5918,-6.2469
2.6731,-6.6145
2.7544,-5.9624
2.8357,-5.8775
2.9170,-5.7443
2.9984,-6.2416
3.0797,-5.9997
3.1610,-5.5721
3.2423,-5.7031
3.3236,-5.9062
3.4049,-5.3271
3.4862,-6.0764
3.5675,-5.5345
3.6488,-5.1069
3.7301,-5.8190
3.8115,-5.7321
3.8928,-5.5963
3.9741,-5.2059
4.0554,-5.3156
4.1367,-5.3353
4.2180,-4.9044
4.2993,-5.2641
4.3806,-5.1654
4.4619,-5.2713
4.5432,-4.8460
4.6246,-4.3494
4.7059,-4.5357
4.7872,-4.7491
4.8685,-4.8477
4.9498,-4.5113
5.0311,-4.5019
5.1124,-4.0792
5.1937,-4.3275
5.2750,-3.9078
5.3563,-4.1854
5.4376,-4.3170
5.5190,-4.0725
5.6003,-4.0722
5.6816,-3.8464
5.7629,-3.8971
5.8442,-3.4296
5.9255,-3.7764
6.0068,-3.4804
6.0881,-3.9279
6.1694,-3.2648
6.2507,-3.3988
6.3321,-3.2271
6.4134,-3.0749
6.4947,-2.9517
6.5760,-3.1419
6.6573,-3.2189
6.7386,-3.4129
6.8199,-3.2447
6.9012,-3.2978
6.9825,-3.2356
7.0638,-3.0729
7.1452,-2.4117
7.2265,-2.4119
7.3078,-2.5672
7.3891,-2.4971
7.4704,-2.5320
7.5517,-2.7208
7.6330,-2.2380
7.7143,-1.8581
7.7956,-1.9530
7.8769,-2.1711
7.9583,-2.3979
8.0396,-2.1851
