Data Info 1,Data info 2
9.2917,-0.3175
9.3451,0.4543
9.3986,2.0000
9.4520,0.5850
9.5054,0.3490
9.5588,-0.5553
9.6123,-1.2995
9.6657,-1.0595
9.7191,1.6614
9.7726,1.6128
9.8260,0.3505
9.8794,-2.2028
9.9328,0.0966
9.9863,1.3592
10.0397,-1.2129
10.0931,-0.5731
10.1465,-0.9928
10.2000,-0.9615
10.2534,1.5737
10.3068,-2.1649
10.3603,-0.8303
10.4137,0.1826
10.4671,-1.4201
10.5205,-0.2590
10.5740,-1.6343
10.6274,-0.1261
10.6808,1.1444
10.7343,0.7878
10.7877,1.2903
10.8411,-0.3665
10.8945,1.5834
10.9480,-1.8658
11.0014,1.2705
11.0548,-0.9613
11.1082,1.4391
11.1617,-1.5336
11.2151,-1.3836
11.2685,-2.4062
11.3220,0.6308
11.3754,-2.6146
11.4288,-0.5179
11.4822,-1.4440
11.5357,-0.7917
11.5891,-0.7695
11.6425,-0.4094
11.6959,-0.4638
11.7494,1.2956
11.8028,1.4119
11.8562,-0.2749
11.9097,-1.6225
11.9631,-0.0269
12.0165,-2.0488
12.0699,-1.4849
12.1234,-1.4173
12.1768,-2.2027
12.2302,-0.9317
12.2836,-0.7564
12.3371,0.5024
12.3905,-1.4850
12.4439,-1.4939
12.4974,0.9630
12.5508,-2.3079
12.6042,-0.3925
12.6576,0.8093
12.7111,-2.8559
12.7645,-2.6772
12.8179,0.8601
12.8713,-2.0647
12.9248,-0.8347
12.9782,-2.3158
13.0316,0.4790
13.0851,-0.4842
13.1385,-3.0985
13.1919,-1.4953
13.2453,0.3615
13.2988,0.4189
13.3522,0.4783
13.4056,-2.8891
13.4590,0.8692
13.5125,-2.9857
13.5659,-2.3919
13.6193,-0.3327
13.6728,-1.7741
13.7262,0.1218
13.7796,0.3031
13.8330,0.2728
13.8865,-0.5468
13.9399,0.0397
13.9933,-2.1894
14.0467,-0.9632
14.1002,-1.8886
14.1536,-1.4071
14.2070,-1.7079
14.2605,-0.2770
14.3139,-1.9894
14.3673,-3.0902
14.4207,-0.9823
14.4742,-0.2101
14.5276,-0.5011
14.5810,-0.2495
14.6344,-2.2020
14.6879,0.5004
14.7413,-0.7985
14.7947,-3.4652
14.8482,-2.6443
14.9016,-1.2592
14.9550,-1.0858
15.0084,-0.5609
15.0619,-4.0628
15.1153,-0.9781
15.1687,-1.9499
15.2221,-3.5457
15.2756,-0.3597
15.3290,-3.2810
15.3824,-1.7291
15.4359,0.3205
15.4893,-2.2614
15.5427,0.1538
15.5961,-2.7667
15.6496,-3.5439
15.7030,-1.3495
15.7564,-0.4262
15.8098,-0.4169
15.8633,-4.2185
15.9167,-4.4436
15.9701,-1.9281
16.0236,-0.8939
16.0770,-3.4618
16.1304,-0.0851
16.1838,-3.6185
16.2373,-2.6438
16.2907,-3.1268
16.3441,-3.6456
16.3976,-2.1437
16.4510,-1.6232
16.5044,-3.2167
16.5578,-3.3059
16.6113,-0.2093
16.6647,-3.3433
16.7181,-0.7366
