Data Info 1,Data info 2
5.9272,13.2230
6.0024,14.6724
6.0775,15.2911
6.1527,15.5916
6.2278,15.7841
6.3030,14.2204
6.3781,14.4130
6.4532,15.3671
6.5284,15.4041
6.6035,15.0329
6.6787,15.3356
6.7538,15.7483
6.8289,16.4052
6.9041,14.8638
6.9792,16.7813
7.0544,15.5296
7.1295,15.4245
7.2047,16.0596
7.2798,17.2685
7.3549,16.6627
7.4301,17.4014
7.5052,17.2818
7.5804,15.5063
7.6555,15.6762
7.7307,16.6473
7.8058,17.6520
7.8809,17.8879
7.9561,16.2596
8.0312,18.6229
8.1064,16.0021
8.1815,18.1852
8.2566,17.4831
8.3318,18.2570
8.4069,19.2937
8.4821,19.3821
8.5572,16.7598
8.6324,18.6243
8.7075,18.3772
8.7826,18.4242
8.8578,17.3670
8.9329,18.5150
9.0081,19.7661
9.0832,18.8852
9.1584,18.3294
9.2335,19.2594
9.3086,18.6875
9.3838,20.4416
9.4589,20.1734
9.5341,20.9271
9.6092,20.3517
9.6843,18.9194
9.7595,19.8801
9.8346,20.4629
9.9098,20.2446
9.9849,19.8807
10.0601,20.7074
10.1352,21.7338
10.2103,19.4917
10.2855,20.3686
10.3606,21.6485
10.4358,21.9231
10.5109,22.2271
10.5861,20.1529
10.6612,21.5206
10.7363,22.9672
10.8115,20.7501
10.8866,20.3749
10.9618,21.2267
11.0369,22.7698
11.1120,21.4529
11.1872,21.3092
11.2623,22.6411
11.3375,23.4573
11.4126,21.5376
11.4878,22.6581
11.5629,22.4877
11.6380,23.2327
11.7132,24.1943
11.7883,22.0279
11.8635,23.8594
11.9386,22.9152
12.0137,23.6796
12.0889,22.8870
12.1640,23.9345
12.2392,22.9159
12.3143,24.5869
12.3895,25.5748
12.4646,24.1149
12.5397,23.0965
12.6149,23.0774
12.6900,25.7020
12.7652,25.4676
12.8403,24.0611
12.9155,25.0645
12.9906,23.7438
13.0657,25.9570
13.1409,26.3431
13.2160,26.4249
13.2912,25.6738
13.3663,24.9833
13.4414,26.8507
13.5166,26.9589
13.5917,27.3481
13.6669,26.8380
13.7420,27.4707
13.8172,27.6501
13.8923,26.0533
13.9674,27.4161
14.0426,26.7446
14.1177,26.9929
14.1929,26.2533
14.2680,26.3416
14.3432,28.4096
14.4183,25.8686
14.4934,27.7853
14.5686,27.0314
14.6437,28.4608
14.7189,28.3661
14.7940,28.9806
14.8691,28.5014
14.9443,29.5855
15.0194,28.7602
15.0946,27.6255
15.1697,29.9143
15.2449,29.8259
15.3200,29.8661
15.3951,28.3262
15.4703,28.4300
15.5454,29.1042
15.6206,29.9772
